ScientificNameBT,CommonNameBT
Cistothorus apolinari,Apolinar's Wren
Ptilinopus marchei,Flame-breasted Fruit-dove
Luscinia cyane,Siberian Blue Robin
Pitta elegans,Elegant Pitta
Tanysiptera nympha,Red-breasted Paradise-kingfisher
Acanthiza katherina,Mountain Thornbill
Acanthiza pusilla,Brown Thornbill
Chalcostigma ruficeps,Rufous-capped Thornbill
Sericornis magnirostra,Large-billed Scrubwren
Luscinia brunnea,Indian Blue Robin
Melanerpes erythrocephalus,Red-headed Woodpecker
Emberiza tahapisi,Cinnamon-breasted Bunting
Rhipidura semirubra,Manus Fantail
Conopias trivirgatus,Three-striped Flycatcher
Megalaima flavifrons,Yellow-fronted Barbet
Tanysiptera ellioti,Kofiau Paradise-kingfisher
Heteromirafra archeri,Archer's Lark
Tanysiptera galatea,Common Paradise-kingfisher
Myzomela lafargei,Scarlet-naped Myzomela
Margarops fuscus,Scaly-breasted Thrasher
Myrmotherula sunensis,Rio Suno Antwren
Nesillas typica,Madagascar Brush-warbler
Picus flavinucha,Greater Yellownape
Phylloscopus trochiloides,Greenish Warbler
Nectarinia shelleyi,Shelley's Sunbird
Rhipidura malaitae,Malaita Fantail
Ornithion inerme,White-lored Tyrannulet
Phragmacia substriata,Namaqua Warbler
Phoenicurus ochruros,Black Redstart
Phylloscopus nitidus,Green Warbler
Tachycineta stolzmanni,Tumbes Swallow
Philemon corniculatus,Noisy Friarbird
Stymphalornis acutirostris,Parana Antwren
Conothraupis speculigera,Black-and-white Tanager
Conothraupis mesoleuca,Cone-billed Tanager
Heteromirafra ruddi,Rudd's Lark
Philemon argenticeps,Silver-crowned Friarbird
Haplophaedia assimilis,Buff-thighed Puffleg
Lamprotornis chalcurus,Bronze-tailed Glossy-starling
Malcorus pectoralis,Rufous-eared Warbler
Myiophobus inornatus,Unadorned Flycatcher
Columba trocaz,Madeira Laurel Pigeon
Lamprotornis nitens,Red-shouldered Glossy-starling
Sylvia communis,Common Whitethroat
Bubalornis niger,Red-billed Buffalo-weaver
Hylophilus decurtatus,Lesser Greenlet
Ducula rosacea,Pink-headed Imperial-pigeon
Ducula poliocephala,Pink-bellied Imperial-pigeon
Cistothorus meridae,Merida Wren
Eriocnemis cupreoventris,Coppery-bellied Puffleg
Anthus hodgsoni,Olive-backed Pipit
Zoothera machiki,Fawn-breasted Thrush
Oxyura vittata,Lake Duck
Amadina fasciata,Cut-throat
Amadina erythrocephala,Red-headed Finch
Tolmomyias flavotectus,Yellow-margined Flatbill
Glaucidium bolivianum,Yungas Pygmy-owl
Coryphospingus pileatus,Pileated Finch
Coryphospingus cucullatus,Red-crested Finch
Chalybura buffonii,White-vented Plumeleteer
Chalybura urochrysia,Bronze-tailed Plumeleteer
Ficedula basilanica,Little Slaty Flycatcher
Conopias cinchoneti,Lemon-browed Flycatcher
Anthus trivialis,Tree Pipit
Ptilinopus coralensis,Atoll Fruit-dove
Nectarinia hartlaubii,Principe Sunbird
Prinia crinigera,Striated Prinia
Bubalornis albirostris,White-billed Buffalo-weaver
Pachyramphus niger,Jamaican Becard
Merops apiaster,European Bee-eater
Emberiza striolata,House Bunting
Rhipidura lepida,Palau Fantail
Piranga hepatica,Hepatic Tanager
Prinia atrogularis,Hill Prinia
Euphonia cyanocephala,Golden-rumped Euphonia
Sylvia conspicillata,Spectacled Warbler
Pitta anerythra,Black-faced Pitta
Parus rufescens,Chestnut-backed Chickadee
Turdus boulboul,Grey-winged Blackbird
Cuculus rochii,Madagascar Cuckoo
Hylophilus ochraceiceps,Tawny-crowned Greenlet
Capito brunneipectus,Brown-chested Barbet
Nectarinia neergardi,Neergaard's Sunbird
Mergellus albellus,Smew
Merops ornatus,Rainbow Bee-eater
Glaucidium jardinii,Andean Pygmy-owl
Chamaepetes unicolor,Black Guan
Chamaepetes goudotii,Sickle-winged Guan
Zoothera joiceyi,Seram Thrush
Myrmotherula ambigua,Yellow-throated Antwren
Vermivora bachmanii,Bachman's Warbler
Scytalopus parvirostris,Trilling Tapaculo
Ptilinopus hyogastrus,Grey-headed Fruit-dove
Ornithion brunneicapillus,Brown-capped Tyrannulet
Parus hudsonicus,Boreal Chickadee
Namibornis herero,Herero Chat
Pterodroma baraui,Barau's Petrel
Myophonus glaucinus,Javan Whistling Thrush
Cacatua ducorpsii,Solomons Cockatoo
Ptilinopus perlatus,Pink-spotted Fruit-dove
Nectarinia reichenowi,Golden-winged Sunbird
Phoenicurus auroreus,Daurian Redstart
Megalaima franklinii,Golden-throated Barbet
Columba leuconota,Snow Pigeon
Tolmomyias assimilis,Yellow-margined Flycatcher
Eriocnemis luciani,Sapphire-vented Puffleg
Nectarinia batesi,Bates's Sunbird
Metallura phoebe,Black Metaltail
Phyllolais pulchella,Buff-bellied Warbler
Picumnus innominatus,Speckled Piculet
Tanysiptera hydrocharis,Little Paradise-kingfisher
Leucippus fallax,Buffy Hummingbird
Lalage moesta,White-browed Triller
Petrochelidon pyrrhonota,Cliff Swallow
Polytelis swainsonii,Superb Parrot
Pachycephala hypoxantha,Bornean Whistler
Ptilinopus chalcurus,Makatea Fruit-dove
Myrmotherula unicolor,Unicoloured Antwren
Myioparus griseigularis,Grey-throated Tit-flycatcher
Myioparus plumbeus,Grey Tit-flycatcher
Contopus punensis,Tumbes Pewee
Nectarinia minima,Crimson-backed Sunbird
Myrmotherula sclateri,Sclater's Antwren
Megalaima corvina,Brown-throated Barbet
Urosticte benjamini,Purple-bibbed Whitetip
Urosticte ruficrissa,Rufous-vented Whitetip
Epimachus fastuosus,Black Sicklebill
Epimachus meyeri,Brown Sicklebill
Nectarinia ursulae,Ursula's Sunbird
Nectarinia veroxii,Mouse-coloured Sunbird
Petrochelidon fulva,Cave Swallow
Heliolais erythropterus,Red-winged Warbler
Megalaima faiostricta,Green-eared Barbet
Nesillas lantzii,Lantz's Brush-warbler
Drymocichla incana,Red-winged Grey Warbler
Columba palumboides,Andaman Wood-pigeon
Tolmomyias traylori,Orange-eyed Flycatcher
Megalaima javensis,Black-banded Barbet
Artamus personatus,Masked Woodswallow
Dicrurus densus,Wallacean Drongo
Psittacula roseata,Blossom-headed Parakeet
Nectarinia cuprea,Copper Sunbird
Icterus mesomelas,Yellow-tailed Oriole
Buteogallus gundlachii,Cuban Black Hawk
Artamus superciliosus,White-browed Woodswallow
Strix davidi,Pere David's Owl
Indicator maculatus,Spotted Honeyguide
Dacelo gaudichaud,Rufous-bellied Kookaburra
Phyllastrephus cabanisi,Cabanis's Greenbul
Nectarinia solaris,Flame-breasted Sunbird
Cyornis tickelliae,Tickell's Blue-flycatcher
Schistocichla schistacea,Slate-coloured Antbird
Nesillas brevicaudata,Grand Comoro Brush-warbler
Nectarinia nectarinioides,Black-bellied Sunbird
Ptilinopus iozonus,Orange-bellied Fruit-dove
Strix uralensis,Ural Owl
Columba malherbii,Sao Tome Bronze-naped Pigeon
Phyllastrephus fischeri,Fischer's Greenbul
Diopsittaca nobilis,Red-shouldered Macaw
Ficedula buruensis,Cinnamon-chested Flycatcher
Ficedula bonthaina,Lompobatang Flycatcher
Myadestes lanaiensis,Olomao
Grus grus,Common Crane
Megalaima viridis,White-cheeked Barbet
Nectarinia tsavoensis,Tsavo Sunbird
Tangara cyanotis,Blue-browed Tanager
Ptilinopus arcanus,Negros Fruit-dove
Nesillas mariae,Moheli Warbler
Batis pririt,Pririt Batis
Indicator variegatus,Scaly-throated Honeyguide
Myadestes palmeri,Puaiohi
Nectarinia rockefelleri,Rockefeller's Sunbird
Thamnophilus amazonicus,Amazonian Antshrike
Corvinella corvina,Yellow-billed Shrike
Nectarinia thomensis,Giant Sunbird
Nectarinia oustaleti,Oustalet's Sunbird
Anodorhynchus hyacinthinus,Hyacinth Macaw
Anodorhynchus leari,Lear's Macaw
Guaruba guarouba,Golden Parakeet
Dicaeum pygmaeum,Pygmy Flowerpecker
Myophonus caeruleus,Blue Whistling-thrush
Scytalopus fuscus,Dusky Tapaculo
Nectarinia osea,Palestine Sunbird
Nectarinia senegalensis,Scarlet-chested Sunbird
Pterodroma magentae,Magenta Petrel
Nectarinia asiatica,Purple Sunbird
Nectarinia stuhlmanni,Ruwenzori Double-collared Sunbird
Aquila hastata,Indian Spotted Eagle
Dicaeum concolor,Plain Flowerpecker
Nectarinia famosa,Malachite Sunbird
Dendrocopos hyperythrus,Rufous-bellied Woodpecker
Nectarinia tacazze,Tacazze Sunbird
Accipiter erythronemius,Rufous-thighed Hawk
Polystictus pectoralis,Bearded Tachuri
Polystictus superciliaris,Grey-backed Tachuri
Nectarinia hunteri,Hunter's Sunbird
Artisornis moreaui,Long-billed Tailorbird
Artisornis metopias,African Tailorbird
Pyroderus scutatus,Red-ruffed Fruitcrow
Sakesphorus melanothorax,Band-tailed Antshrike
Buteogallus urubitinga,Great Black-hawk
Vireo vicinior,Grey Vireo
Phalcoboenus albogularis,White-throated Caracara
Megalaima armillaris,Flame-fronted Barbet
Cyornis hyacinthinus,Timor Blue-flycatcher
Zenaida macroura,Mourning Dove
Zenaida graysoni,Socorro Dove
Apalis binotata,Masked Apalis
Vireo huttoni,Hutton's Vireo
Mesopicos elliotii,Elliot's Woodpecker
Nectarinia zeylonica,Purple-rumped Sunbird
Campylopterus villaviscensio,Napo Sabrewing
Nesillas longicaudata,Anjouan Brush-warbler
Alopochen aegyptiaca,Egyptian Goose
Neochmia temporalis,Red-browed Finch
Nectarinia johnstoni,Red-tufted Sunbird
Ptilinopus greyii,Red-bellied Fruit-dove
Megalaima henricii,Yellow-crowned Barbet
Lanius dorsalis,Taita Fiscal
Aquila nipalensis,Steppe Eagle
Nectarinia seimundi,Little Green Sunbird
Apalis flavida,Yellow-breasted Apalis
Megalaima lagrandieri,Red-vented Barbet
Cacatua sanguinea,Little Corella
Nectarinia congensis,Congo Sunbird
Nectarinia reichenbachii,Reichenbach's Sunbird
Phalcoboenus carunculatus,Carunculated Caracara
Nectarinia notata,Long-billed Green Sunbird
Rhipidura albicollis,White-throated Fantail
Nectarinia manoensis,Miombo Double-collared Sunbird
Mitrephanes phaeocercus,Tufted Flycatcher
Mitrephanes olivaceus,Olive Flycatcher
Chlorochrysa phoenicotis,Glistening-green Tanager
Thamnophilus insignis,Streak-backed Antshrike
Nectarinia rubescens,Green-throated Sunbird
Phylloscartes nigrifrons,Black-fronted Tyrannulet
Coracina novaehollandiae,Black-faced Cuckooshrike
Batis soror,Pale Batis
Saltator rufiventris,Rufous-bellied Saltator
Ptilinopus pulchellus,Beautiful Fruit-dove
Leucopeza semperi,Semper's Warbler
Columba punicea,Pale-capped Pigeon
Ornithion semiflavum,Yellow-bellied Tyrannulet
Nectarinia bocagii,Bocage's Sunbird
Ptilinopus subgularis,Maroon-chinned Fruit-dove
Nectarinia coccinigaster,Splendid Sunbird
Megaxenops parnaguae,Great Xenops
Aphelocoma coerulescens,Florida Scrub-jay
Ptilinopus naina,Dwarf Fruit-dove
Columba pollenii,Comoro Olive-pigeon
Phaethornis longuemareus,Little Hermit
Neochmia modesta,Plum-headed Finch
Serinus thibetanus,Tibetan Serin
Contopus nigrescens,Blackish Pewee
Haplophaedia aureliae,Greenish Puffleg
Larus saundersi,Saunders's Gull
Megalaima rafflesii,Red-crowned Barbet
Carpodacus thura,White-browed Rosefinch
Alcedo websteri,Bismarck Kingfisher
Alcedo azurea,Azure Kingfisher
Myiophobus roraimae,Roraiman Flycatcher
Rhipidura maculipectus,Black Thicket-fantail
Malacocincla abbotti,Abbott's Babbler
Haplophaedia lugens,Hoary Puffleg
Myiophobus flavicans,Flavescent Flycatcher
Apalis porphyrolaema,Chestnut-throated Apalis
Dendrocopos kizuki,Pygmy Woodpecker
Pinarornis plumosus,Boulder Chat
Carpodacus trifasciatus,Three-banded Rosefinch
Carpodacus cassinii,Cassin's Finch
Nectarinia fuelleborni,Olive-bellied Double-collared Sunbird
Calandrella raytal,Indian Short-toed Lark
Buteo platypterus,Broad-winged Hawk
Anthus brachyurus,Short-tailed Pipit
Gallus sonneratii,Grey Junglefowl
Columba sjostedti,Cameroon Olive-pigeon
Ampeliceps coronatus,Golden-crested Myna
Ptilinopus insularis,Henderson Fruit-dove
Anthochaera carunculata,Red Wattlebird
Anthochaera paradoxa,Yellow Wattlebird
Nectarinia adelberti,Buff-throated Sunbird
Nectarinia bifasciata,Purple-banded Sunbird
Nectarinia aspasia,Black Sunbird
Megalaima rubricapillus,Crimson-fronted Barbet
Polysticta stelleri,Steller's Eider
Collocalia vanikorensis,Uniform Swiftlet
Ficedula subrubra,Kashmir Flycatcher
Nectarinia sperata,Purple-throated Sunbird
Geositta saxicolina,Dark-winged Miner
Geositta isabellina,Creamy-rumped Miner
Euphonia affinis,Scrub Euphonia
Percnostola arenarum,Allpahuayo Antbird
Francolinus finschi,Finsch's Francolin
Rhinomyias brunneatus,Brown-chested Jungle-flycatcher
Oxypogon guerinii,Bearded Helmetcrest
Nectarinia mediocris,Eastern Double-collared Sunbird
Thamnophilus bridgesi,Black-hooded Antshrike
Nectarinia chalcomelas,Violet-breasted Sunbird
Nectarinia johannae,Johanna's Sunbird
Thamnophilus atrinucha,Western Slaty-antshrike
Ochetorhynchus andaecola,Rock Earthcreeper
Yuhina nigrimenta,Black-chinned Yuhina
Heliangelus mavors,Orange-throated Sunangel
Buthraupis montana,Hooded Mountain-tanager
Myrmotherula longicauda,Stripe-chested Antwren
Lampornis sybillae,Green-breasted Mountain-gem
Muscicapa griseisticta,Grey-streaked Flycatcher
Anairetes agilis,Agile Tit-tyrant
Myrmotherula klagesi,Klages's Antwren
Dicrurus sumatranus,Sumatran Drongo
Prinia buchanani,Rufous-fronted Prinia
Eumyias indigo,Indigo Flycatcher
Poliolais lopezi,White-tailed Warbler
Lamprotornis purpuroptera,Rueppell's Glossy-starling
Lamprotornis caudatus,Long-tailed Glossy-starling
Saltator aurantiirostris,Golden-billed Saltator
Pteronetta hartlaubii,Hartlaub's Duck
Dendragapus falcipennis,Siberian Grouse
Dendragapus canadensis,Spruce Grouse
Dicrurus modestus,Velvet-mantled Drongo
Passer montanus,Eurasian Tree Sparrow
Campylorhynchus megalopterus,Grey-barred Wren
Rhipidura aureola,White-browed Fantail
Calandrella cinerea,Red-capped Lark
Lichmera notabilis,Black-chested Honeyeater
Prinia burnesii,Rufous-vented Prinia
Thryothorus griseus,Grey Wren
Megalaima incognita,Moustached Barbet
Saltator grossus,Slate-coloured Grosbeak
Nectarinia fusca,Dusky Sunbird
Hippolais caligata,Booted Warbler
Hippolais rama,Sykes's Warbler
Cyanochen cyanoptera,Blue-winged Goose
Lampornis viridipallens,Green-throated Mountain-gem
Drymophila rubricollis,Bertoni's Antbird
Nectarinia purpureiventris,Purple-breasted Sunbird
Anthus godlewskii,Blyth's Pipit
Illadopsis rufipennis,Pale-breasted Illadopsis
Illadopsis pyrrhoptera,Mountain Illadopsis
Yuhina brunneiceps,Taiwan Yuhina
Sclerurus rufigularis,Short-billed Leaftosser
Megalaima eximia,Bornean Barbet
Calandrella somalica,Rufous Short-toed Lark
Turdus flavipes,Yellow-legged Thrush
Bubo ascalaphus,Pharaoh Eagle-owl
Hirundo albigularis,White-throated Swallow
Turdus pilaris,Fieldfare
Lipaugus streptophorus,Rose-collared Piha
Glaucis dohrnii,Hook-billed Hermit
Tragopan melanocephalus,Western Tragopan
Forpus conspicillatus,Spectacled Parrotlet
Dicrurus fuscipennis,Grand Comoro Drongo
Euphonia hirundinacea,Yellow-throated Euphonia
Orthotomus sericeus,Rufous-tailed Tailorbird
Sylvia melanothorax,Cyprus Warbler
Phoenicurus schisticeps,White-throated Redstart
Aimophila rufescens,Rusty Sparrow
Psittacula cyanocephala,Plum-headed Parakeet
Myiozetetes luteiventris,Dusky-chested Flycatcher
Phoenicurus caeruleocephala,Blue-capped Redstart
Melanerpes candidus,White Woodpecker
Todiramphus winchelli,Rufous-lored Kingfisher
Tetraogallus caucasicus,Caucasian Snowcock
Sylvia rueppelli,Rueppell's Warbler
Columba janthina,Japanese Wood-pigeon
Poeoptera lugubris,Narrow-tailed Starling
Nectarinia buettikoferi,Apricot-breasted Sunbird
Dysithamnus mentalis,Plain Antvireo
Rhipidura phoenicura,Rufous-tailed Fantail
Campylopterus falcatus,Lazuline Sabrewing
Polioptila caerulea,Blue-grey Gnatcatcher
Phalcoboenus megalopterus,Mountain Caracara
Melanocorypha calandra,Calandra Lark
Graueria vittata,Grauer's Warbler
Melanocorypha mongolica,Mongolian Lark
Nectarinia newtonii,Newton's Sunbird
Phalcoboenus australis,Striated Caracara
Phalacrocorax sulcirostris,Little Black Cormorant
Sclerurus albigularis,Grey-throated Leaftosser
Aglaeactis aliciae,Purple-backed Sunbeam
Nectarinia bannermani,Bannerman's Sunbird
Phalacrocorax varius,Large Pied Cormorant
Scytalopus canus,Paramo Tapaculo
Nectarinia lotenia,Long-billed Sunbird
Carpodacus rubicilloides,Streaked Rosefinch
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross
Thalassarche carteri,Indian Yellow-nosed Albatross
Scytalopus affinis,Ancash Tapaculo
Lampropsar tanagrinus,Velvet-fronted Grackle
Malacocincla malaccensis,Short-tailed Babbler
Rhipidura opistherythra,Long-tailed Fantail
Nectarinia habessinica,Shining Sunbird
Phylloscopus magnirostris,Large-billed Leaf-warbler
Prinia inornata,Plain Prinia
Pitta superba,Superb Pitta
Pterodroma feae,Fea's Petrel
Pitta iris,Rainbow Pitta
Macropygia magna,Dusky Cuckoo-dove
Pezopetes capitalis,Large-footed Finch
Nectarinia afra,Greater Double-collared Sunbird
Pterodroma incerta,Atlantic Petrel
Leucopsar rothschildi,Bali Starling
Pterodroma madeira,Zino's Petrel
Myiozetetes similis,Social Flycatcher
Lophodytes cucullatus,Hooded Merganser
Dicrurus andamanensis,Andaman Drongo
Forpus modestus,Dusky-billed Parrotlet
Drymophila caudata,Long-tailed Antbird
Carpodacus purpureus,Purple Finch
Bubo bubo,Eurasian Eagle-owl
Dysithamnus stictothorax,Spot-breasted Antvireo
Columba hodgsonii,Speckled Wood-pigeon
Thryothorus eisenmanni,Inca Wren
Gymnomystax mexicanus,Oriole Blackbird
Prinia flavicans,Black-chested Prinia
Puffinus creatopus,Pink-footed Shearwater
Columba torringtoniae,Sri Lanka Wood-pigeon
Patagioenas nigrirostris,Short-billed Pigeon
Euphonia laniirostris,Thick-billed Euphonia
Colaptes auratus,Northern Flicker
Chamaea fasciata,Wrentit
Cyornis hoevelli,Blue-fronted Flycatcher
Puffinus carneipes,Flesh-footed Shearwater
Heliangelus viola,Purple-throated Sunangel
Forpus cyanopygius,Mexican Parrotlet
Myzomela sanguinolenta,Scarlet Myzomela
Tricholaema diademata,Red-fronted Barbet
Ducula mindorensis,Mindoro Imperial-pigeon
Lipaugus weberi,Chestnut-capped Piha
Pteroglossus aracari,Black-necked Aracari
Orthotomus atrogularis,Dark-necked Tailorbird
Phoenicurus erythrogastrus,White-winged Redstart
Lichmera flavicans,Yellow-eared Honeyeater
Lichmera lombokia,Scaly-crowned Honeyeater
Pachycephala modesta,Brown-backed Whistler
Accipiter rufiventris,Rufous-chested Sparrowhawk
Cyornis herioti,Blue-breasted Flycatcher
Cettia brunnifrons,Grey-sided Bush-warbler
Amazona farinosa,Mealy Amazon
Phoenicurus hodgsoni,Hodgson's Redstart
Zoothera peronii,Orange-banded Thrush
Gallirallus insignis,New Britain Rail
Rhipidura dedemi,Streaky-breasted Fantail
Hypocnemis hypoxantha,Yellow-browed Antbird
Myzomela cardinalis,Cardinal Myzomela
Phylloscartes ventralis,Mottle-cheeked Tyrannulet
Tragopan caboti,Cabot's Tragopan
Tesia everetti,Russet-capped Tesia
Prinia gracilis,Graceful Prinia
Nectarinia cyanolaema,Blue-throated Brown Sunbird
Dysithamnus plumbeus,Plumbeous Antvireo
Clibanornis dendrocolaptoides,Canebrake Groundcreeper
Apalis melanocephala,Black-headed Apalis
Pachycephala lorentzi,Lorentz's Whistler
Tachyphonus cristatus,Flame-crested Tanager
Emberiza jankowskii,Rufous-backed Bunting
Lichmera limbata,Indonesian Honeyeater
Oxyura jamaicensis,Ruddy Duck
Minla strigula,Chestnut-tailed Minla
Minla ignotincta,Red-tailed Minla
Lichmera deningeri,Buru Honeyeater
Drymophila devillei,Striated Antbird
Gymnobucco bonapartei,Grey-throated Barbet
Synthliboramphus hypoleucus,Xantus's Murrelet
Synthliboramphus craveri,Craveri's Murrelet
Cyornis omissus,Sulawesi Blue-flycatcher
Anthus rubescens,American Pipit
Hypopyrrhus pyrohypogaster,Red-bellied Grackle
Sclerurus caudacutus,Black-tailed Leaftosser
Paroreomyza montana,Maui Alauahio
Paroreomyza maculata,Oahu Alauahio
Pionus fuscus,Dusky Parrot
Amaurospiza concolor,Blue Seedeater
Melanerpes cactorum,White-fronted Woodpecker
Melanerpes formicivorus,Acorn Woodpecker
Lichmera argentauris,Olive Honeyeater
Seiurus noveboracensis,Northern Waterthrush
Seiurus motacilla,Louisiana Waterthrush
Lichmera monticola,Seram Honeyeater
Treron calvus,African Green-pigeon
Megalaima pulcherrima,Golden-naped Barbet
Forpus xanthops,Yellow-faced Parrotlet
Turdus lawrencii,Lawrence's Thrush
Tesia castaneocoronata,Chestnut-headed Tesia
Nectarinia comorensis,Anjouan Sunbird
Nectarinia fuliginosa,Carmelite Sunbird
Lipaugus uropygialis,Scimitar-winged Piha
Megalaima australis,Blue-eared Barbet
Tesia cyaniventer,Grey-bellied Tesia
Leucopternis semiplumbeus,Semiplumbeous Hawk
Hypocnemis cantator,Guianan Warbling-antbird
Tricholaema leucomelas,Pied Barbet
Carpodacus pulcherrimus,Beautiful Rosefinch
Tragopan temminckii,Temminck's Tragopan
Columba unicincta,Afep Pigeon
Prinia cinereocapilla,Grey-crowned Prinia
Lagonosticta larvata,Black-throated Firefinch
Nectarinia pembae,Pemba Sunbird
Pheucticus aureoventris,Black-backed Grosbeak
Myiornis albiventris,White-bellied Pygmy-tyrant
Cyanerpes caeruleus,Purple Honeycreeper
Forpus coelestis,Pacific Parrotlet
Cyornis superbus,Bornean Blue-flycatcher
Psittacula eupatria,Alexandrine Parakeet
Myiornis atricapillus,Black-capped Pygmy-tyrant
Cercomacra melanaria,Mato Grosso Antbird
Prinia hypoxantha,Saffron-breasted Prinia
Gallirallus rovianae,Roviana Rail
Galerida theklae,Thekla Lark
Prinia maculosa,Karoo Prinia
Aegithalos niveogularis,White-throated Tit
Lipaugus lanioides,Cinnamon-vented Piha
Gallirallus torquatus,Barred Rail
Amaurospiza moesta,Blackish-blue Seedeater
Gymnobucco calvus,Naked-faced Barbet
Myiornis ecaudatus,Short-tailed Pygmy-tyrant
Touit dilectissimus,Blue-fronted Parrotlet
Gymnobucco peli,Bristle-nosed Barbet
Melozone leucotis,White-eared Ground-sparrow
Gallirallus striatus,Slaty-breasted Rail
Conostoma oemodium,Great Parrotbill
Melozone biarcuata,Prevost's Ground-sparrow
Rhipidura phasiana,Mangrove Fantail
Cyanerpes nitidus,Short-billed Honeycreeper
Aulacorhynchus huallagae,Yellow-browed Toucanet
Myiornis auricularis,Eared Pygmy-tyrant
Cyornis caerulatus,Large-billed Blue-flycatcher
Streptopelia lugens,Dusky Turtle-dove
Gallirallus calayanensis,Calayan Rail
Tachyphonus luctuosus,White-shouldered Tanager
Prinia somalica,Pale Prinia
Aulacorhynchus derbianus,Chestnut-tipped Toucanet
Tesia superciliaris,Javan Tesia
Gymnobucco sladeni,Sladen's Barbet
Megalaima zeylanica,Brown-headed Barbet
Gerygone palpebrosa,Fairy Gerygone
Ninox rudolfi,Sumba Boobook
Chlorothraupis olivacea,Lemon-spectacled Tanager
Nesotriccus ridgwayi,Cocos Flycatcher
Gerygone chloronota,Green-backed Gerygone
Hylophilus poicilotis,Rufous-crowned Greenlet
Hylophilus thoracicus,Lemon-chested Greenlet
Aulacorhynchus sulcatus,Groove-billed Toucanet
Acrocephalus agricola,Paddyfield Warbler
Rhipidura personata,Kadavu Fantail
Neochmia phaeton,Crimson Finch
Phalacrocorax atriceps,Imperial Shag
Diglossa caerulescens,Bluish Flowerpiercer
Diglossa cyanea,Masked Flowerpiercer
Anthracothorax viridis,Green Mango
Icterus wagleri,Black-vented Oriole
Chlorothraupis carmioli,Olive Tanager
Dicrurus caerulescens,White-bellied Drongo
Touit huetii,Scarlet-shouldered Parrotlet
Prinia flaviventris,Yellow-bellied Prinia
Phrygilus fruticeti,Mourning Sierra-finch
Zoothera dohertyi,Chestnut-backed Thrush
Aimophila mystacalis,Bridled Sparrow
Aimophila humeralis,Black-chested Sparrow
Turdus plumbeus,Red-legged Thrush
Lagonosticta rara,Black-bellied Firefinch
Melanocorypha leucoptera,White-winged Lark
Lichmera squamata,White-tufted Honeyeater
Gallinago stenura,Pintail Snipe
Anthus novaeseelandiae,Australasian Pipit
Catharacta lonnbergi,Brown Skua
Turdus aurantius,White-chinned Thrush
Phalacrocorax chalconotus,Stewart Island Shag
Gallinago megala,Swinhoe's Snipe
Melanocorypha yeltoniensis,Black Lark
Tumbezia salvini,Tumbes Tyrant
Tachyphonus rufiventer,Yellow-crested Tanager
Spizocorys sclateri,Sclater's Lark
Tesia olivea,Slaty-bellied Tesia
Psittinus cyanurus,Blue-rumped Parrot
Patagioenas inornata,Plain Pigeon
Merops philippinus,Blue-tailed Bee-eater
Lichmera incana,Dark-brown Honeyeater
Prinia fluviatilis,River Prinia
Rhipidura nebulosa,Samoan Fantail
Prinia robertsi,Briar Warbler
Touit surdus,Golden-tailed Parrotlet
Oxyura australis,Blue-billed Duck
Hylophilus brunneiceps,Brown-headed Greenlet
Margarops fuscatus,Pearly-eyed Thrasher
Baeolophus bicolor,Tufted Titmouse
Baeolophus atricristatus,Black-crested Titmouse
Spizocorys fringillaris,Botha's Lark
Touit purpuratus,Sapphire-rumped Parrotlet
Hylophilus semibrunneus,Rufous-naped Greenlet
Ochthoeca piurae,Piura Chat-tyrant
Bucephala albeola,Bufflehead
Patagioenas goodsoni,Dusky Pigeon
Cyanerpes lucidus,Shining Honeycreeper
Leiothrix argentauris,Silver-eared Mesia
Leiothrix lutea,Red-billed Leiothrix
Neophema splendida,Scarlet-chested Parrot
Spizocorys conirostris,Pink-billed Lark
Touit melanonotus,Brown-backed Parrotlet
Rhipidura kubaryi,Pohnpei Fantail
Branta ruficollis,Red-breasted Goose
Polioptila plumbea,Tropical Gnatcatcher
Bradypterus bangwaensis,Bangwa Forest Warbler
Motacilla samveasnae,Mekong Wagtail
Hylophilus pectoralis,Ashy-headed Greenlet
Elaenia mesoleuca,Olivaceous Elaenia
Ochthoeca frontalis,Crowned Chat-tyrant
Ptilinopus perousii,Many-coloured Fruit-dove
Touit costaricensis,Red-fronted Parrotlet
Ochthoeca jelskii,Jelski's Chat-tyrant
Hylophilus amaurocephalus,Grey-eyed Greenlet
Spizocorys personata,Masked Lark
Ochthoeca rufipectoralis,Rufous-breasted Chat-tyrant
Hylophilus flavipes,Scrub Greenlet
Dysithamnus striaticeps,Streak-crowned Antvireo
Cyornis ruckii,Rueck's Blue-flycatcher
Touit batavicus,Lilac-tailed Parrotlet
Xolmis rubetra,Rusty-backed Monjita
Macropygia nigrirostris,Black-billed Cuckoo-dove
Prinia hodgsonii,Grey-breasted Prinia
Glareola nuchalis,Rock Pratincole
Ochthoeca fumicolor,Brown-backed Chat-tyrant
Elaenia chiriquensis,Lesser Elaenia
Rhopornis ardesiacus,Slender Antbird
Hirundo atrocaerulea,Blue Swallow
Hirundo nigrorufa,Black-and-rufous Swallow
Prinia socialis,Ashy Prinia
Tadorna radjah,Radjah Shelduck
Ptilinopus victor,Orange Dove
Hylophilus aurantiifrons,Golden-fronted Greenlet
Phylloscartes roquettei,Minas Gerais Tyrannulet
Chrysothlypis chrysomelas,Black-and-yellow Tanager
