ScientificNameV3,CommonNameV3,FamilyV3,ScientificName2023,CommonName2023,Family2023
Phylidonyris albifrons,White-fronted Honeyeater,Meliphagidae,Purnella albifrons,White-fronted Honeyeater,Meliphagidae
Phylidonyris undulatus,Barred Honeyeater,Meliphagidae,Gliciphila undulata,Barred Honeyeater,Meliphagidae
Phylidonyris notabilis,New Hebrides Honeyeater,Meliphagidae,Gliciphila notabilis,Vanuatu Honeyeater,Meliphagidae
Phylidonyris melanops,Tawny-crowned Honeyeater,Meliphagidae,Gliciphila melanops,Tawny-crowned Honeyeater,Meliphagidae
Conopophila whitei,Grey Honeyeater,Meliphagidae,Conopophila whitei,Gray Honeyeater,Meliphagidae
Xanthomyza phrygia,Regent Honeyeater,Meliphagidae,Anthochaera phrygia,Regent Honeyeater,Meliphagidae
Anthornis melanocephala,Chatham Bellbird,Meliphagidae,Anthornis melanocephala,Chatham Island Bellbird,Meliphagidae
Ashbyia lovensis,Gibberbird,Meliphagidae,Ashbyia lovensis,Gibber Chat,Meliphagidae
Crateroscelis nigrorufa,Bicoloured Mouse-warbler,Acanthizidae,Aethomyias nigrorufus,Bicolored Mouse-Warbler,Acanthizidae
Sericornis citreogularis,Yellow-throated Scrubwren,Acanthizidae,Neosericornis citreogularis,Yellow-throated Scrubwren,Acanthizidae
Sericornis frontalis,White-browed Scrubwren,Acanthizidae,,,
,,,Sericornis frontalis,White-browed Scrubwren,Acanthizidae
,,,Sericornis maculatus,Spotted Scrubwren,Acanthizidae
Sericornis beccarii,Beccari's Scrubwren,Acanthizidae,,,
,,,Sericornis beccarii,Tropical Scrubwren,Acanthizidae
,,,Sericornis nouhuysi,Large Scrubwren,Acanthizidae
Sericornis nouhuysi,Large Scrubwren,Acanthizidae,,,
Sericornis virgatus,Perplexing Scrubwren,Acanthizidae,,,
Sericornis rufescens,Vogelkop Scrubwren,Acanthizidae,Aethomyias rufescens,Vogelkop Scrubwren,Acanthizidae
Sericornis perspicillatus,Buff-faced Scrubwren,Acanthizidae,Aethomyias perspicillatus,Buff-faced Scrubwren,Acanthizidae
Sericornis arfakianus,Grey-green Scrubwren,Acanthizidae,Aethomyias arfakianus,Gray-green Scrubwren,Acanthizidae
Sericornis papuensis,Papuan Scrubwren,Acanthizidae,Aethomyias papuensis,Papuan Scrubwren,Acanthizidae
Sericornis spilodera,Pale-billed Scrubwren,Acanthizidae,Aethomyias spilodera,Pale-billed Scrubwren,Acanthizidae
Chthonicola sagittatus,Speckled Warbler,Acanthizidae,Pyrrholaemus sagittatus,Speckled Warbler,Acanthizidae
Calamanthus campestris,Rufous Fieldwren,Acanthizidae,,,
,,,Calamanthus campestris,Rufous Fieldwren,Acanthizidae
,,,Calamanthus montanellus,Western Fieldwren,Acanthizidae
Gerygone cinerea,Mountain Gerygone,Acanthizidae,Acanthiza cinerea,Gray Thornbill,Acanthizidae
Gerygone magnirostris,Large-billed Gerygone,Acanthizidae,,,
,,,Gerygone magnirostris,Large-billed Gerygone,Acanthizidae
,,,Gerygone hypoxantha,Biak Gerygone,Acanthizidae
Gerygone igata,Grey Gerygone,Acanthizidae,Gerygone igata,Gray Gerygone,Acanthizidae
Gerygone albofrontata,Chatham Gerygone,Acanthizidae,Gerygone albofrontata,Chatham Island Gerygone,Acanthizidae
Gerygone flavolateralis,Fan-tailed Gerygone,Acanthizidae,,,
,,,Gerygone flavolateralis,Fan-tailed Gerygone,Acanthizidae
,,,Gerygone citrina,Rennell Gerygone,Acanthizidae
Monachella muelleriana,Torrent Robin,Petroicidae,Monachella muelleriana,Torrent Flyrobin,Petroicidae
Microeca griseoceps,Yellow-legged Flyrobin,Petroicidae,Kempiella griseoceps,Yellow-legged Flyrobin,Petroicidae
Microeca flavovirescens,Olive Flyrobin,Petroicidae,Kempiella flavovirescens,Olive Flyrobin,Petroicidae
Microeca papuana,Canary Flyrobin,Petroicidae,Devioeca papuana,Canary Flyrobin,Petroicidae
Petroica bivittata,Alpine Robin,Petroicidae,Petroica bivittata,Subalpine Robin,Petroicidae
Petroica multicolor,Scarlet Robin,Petroicidae,,,
,,,Petroica multicolor,Norfolk Robin,Petroicidae
,,,Petroica pusilla,Pacific Robin,Petroicidae
,,,Petroica boodang,Scarlet Robin,Petroicidae
Petroica australis,New Zealand Robin,Petroicidae,,,
,,,Petroica australis,South Island Robin,Petroicidae
,,,Petroica longipes,North Island Robin,Petroicidae
Petroica traversi,Black Robin,Petroicidae,Petroica traversi,Chatham Robin,Petroicidae
Tregellasia leucops,White-faced Robin,Petroicidae,Eopsaltria leucops,White-faced Robin,Petroicidae
Tregellasia capito,Pale-yellow Robin,Petroicidae,Eopsaltria capito,Pale-yellow Robin,Petroicidae
Eopsaltria flaviventris,Yellow-bellied Robin,Petroicidae,Cryptomicroeca flaviventris,Yellow-bellied Flyrobin,Petroicidae
Eopsaltria pulverulenta,Mangrove Robin,Petroicidae,Melanodryas pulverulenta,Mangrove Robin,Petroicidae
Poecilodryas brachyura,Black-chinned Robin,Petroicidae,Heteromyias brachyurus,Black-chinned Robin,Petroicidae
Poecilodryas placens,Olive-yellow Robin,Petroicidae,Eopsaltria placens,Banded Yellow Robin,Petroicidae
Poecilodryas albonotata,Black-throated Robin,Petroicidae,Plesiodryas albonotata,Black-throated Robin,Petroicidae
Peneothello sigillatus,White-winged Robin,Petroicidae,Melanodryas sigillata,White-winged Robin,Petroicidae
Peneothello cryptoleuca,Smoky Robin,Petroicidae,Melanodryas cryptoleuca,Smoky Robin,Petroicidae
Peneothello cyanus,Blue-grey Robin,Petroicidae,Melanodryas cyanus,Blue-gray Robin,Petroicidae
Peneothello bimaculata,White-rumped Robin,Petroicidae,Melanodryas bimaculata,White-rumped Robin,Petroicidae
Heteromyias albispecularis,Grey-headed Robin,Petroicidae,,,
,,,Heteromyias albispecularis,Arfak Robin,Petroicidae
,,,Heteromyias armiti,Black-capped Robin,Petroicidae
,,,Heteromyias cinereifrons,Gray-headed Robin,Petroicidae
Drymodes superciliaris,Northern Scrub-robin,Petroicidae,,,
,,,Drymodes superciliaris,Northern Scrub-Robin,Petroicidae
,,,Drymodes beccarii,Papuan Scrub-Robin,Petroicidae
Irena puella,Asian Fairy-bluebird,Irenidae,,,
,,,Irena puella,Asian Fairy-bluebird,Irenidae
,,,Irena tweeddalii,Palawan Fairy-bluebird,Irenidae
Chloropsis cochinchinensis,Blue-winged Leafbird,Chloropseidae,,,
,,,Chloropsis cochinchinensis,Javan Leafbird,Chloropseidae
,,,Chloropsis moluccensis,Blue-winged Leafbird,Chloropseidae
Orthonyx novaeguineae,New Guinea Logrunner,Orthonychidae,Orthonyx novaeguineae,Papuan Logrunner,Orthonychidae
Pomatostomus isidorei,New Guinea Babbler,Pomatostomidae,Garritornis isidorei,Papuan Babbler,Pomatostomidae
Pomatostomus temporalis,Grey-crowned Babbler,Pomatostomidae,Pomatostomus temporalis,Gray-crowned Babbler,Pomatostomidae
Lanius isabellinus,Rufous-tailed Shrike,Laniidae,,,
,,,Lanius isabellinus,Isabelline Shrike,Laniidae
,,,Lanius phoenicuroides,Red-tailed Shrike,Laniidae
Lanius tephronotus,Grey-backed Shrike,Laniidae,Lanius tephronotus,Gray-backed Shrike,Laniidae
Lanius minor,Lesser Grey Shrike,Laniidae,Lanius minor,Lesser Gray Shrike,Laniidae
Lanius excubitor,Great Grey Shrike,Laniidae,,,
,,,Lanius excubitor,Great Gray Shrike,Laniidae
,,,Lanius borealis,Northern Shrike,Laniidae
,,,Lanius meridionalis,Iberian Gray Shrike,Laniidae
Lanius sphenocercus,Chinese Grey Shrike,Laniidae,,,
,,,Lanius sphenocercus,Chinese Gray Shrike,Laniidae
,,,Lanius giganteus,Giant Shrike,Laniidae
Lanius excubitoroides,Grey-backed Fiscal,Laniidae,Lanius excubitoroides,Gray-backed Fiscal,Laniidae
Lanius collaris,Common Fiscal,Laniidae,,,
,,,Lanius humeralis,Northern Fiscal,Laniidae
,,,Lanius collaris,Southern Fiscal,Laniidae
Lanius newtoni,Sao Tome Fiscal,Laniidae,Lanius newtoni,Newton's Fiscal,Laniidae
Lanius marwitzi,Uhehe Fiscal,Laniidae,,,
Corvinella corvina,Yellow-billed Shrike,Laniidae,Lanius corvinus,Yellow-billed Shrike,Laniidae
Urolestes melanoleucus,Magpie Shrike,Laniidae,Lanius melanoleucus,Magpie Shrike,Laniidae
Eurocephalus rueppelli,White-rumped Shrike,Laniidae,Eurocephalus ruppelli,White-rumped Shrike,Laniidae
,,,Vireo pallens,Mangrove Vireo,Vireonidae
Vireo pallens,Mangrove Vireo,Vireonidae,,,
Vireo crassirostris,Thick-billed Vireo,Vireonidae,,,
,,,Vireo crassirostris,Thick-billed Vireo,Vireonidae
Vireo vicinior,Grey Vireo,Vireonidae,Vireo vicinior,Gray Vireo,Vireonidae
Vireo olivaceus,Red-eyed Vireo,Vireonidae,,,
,,,Vireo olivaceus,Red-eyed Vireo,Vireonidae
,,,Vireo chivi,Chivi Vireo,Vireonidae
Hylophilus amaurocephalus,Grey-eyed Greenlet,Vireonidae,Hylophilus amaurocephalus,Gray-eyed Greenlet,Vireonidae
Hylophilus semicinereus,Grey-chested Greenlet,Vireonidae,Hylophilus semicinereus,Gray-chested Greenlet,Vireonidae
Hylophilus sclateri,Tepui Greenlet,Vireonidae,Vireo sclateri,Tepui Vireo,Vireonidae
Hylophilus muscicapinus,Buff-cheeked Greenlet,Vireonidae,Pachysylvia muscicapina,Buff-cheeked Greenlet,Vireonidae
Hylophilus hypoxanthus,Dusky-capped Greenlet,Vireonidae,Pachysylvia hypoxantha,Dusky-capped Greenlet,Vireonidae
Hylophilus semibrunneus,Rufous-naped Greenlet,Vireonidae,Pachysylvia semibrunnea,Rufous-naped Greenlet,Vireonidae
Hylophilus aurantiifrons,Golden-fronted Greenlet,Vireonidae,Pachysylvia aurantiifrons,Golden-fronted Greenlet,Vireonidae
Hylophilus ochraceiceps,Tawny-crowned Greenlet,Vireonidae,Tunchiornis ochraceiceps,Tawny-crowned Greenlet,Vireonidae
Hylophilus decurtatus,Lesser Greenlet,Vireonidae,Pachysylvia decurtata,Lesser Greenlet,Vireonidae
Androphobus viridis,Papuan Whipbird,Eupetidae,Androphobus viridis,Papuan Whipbird,Psophodidae
Psophodes olivaceus,Eastern Whipbird,Eupetidae,Psophodes olivaceus,Eastern Whipbird,Psophodidae
Psophodes nigrogularis,Western Whipbird,Eupetidae,Psophodes nigrogularis,Western Whipbird,Psophodidae
Psophodes occidentalis,Chiming Wedgebill,Eupetidae,Psophodes occidentalis,Chiming Wedgebill,Psophodidae
Psophodes cristatus,Chirruping Wedgebill,Eupetidae,Psophodes cristatus,Chirruping Wedgebill,Psophodidae
Cinclosoma castanotum,Chestnut Quail-thrush,Cinclosomatidae,,,
,,,Cinclosoma castanotum,Chestnut Quail-thrush,Cinclosomatidae
,,,Cinclosoma clarum,Copperback Quail-thrush,Cinclosomatidae
Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,Cinclosomatidae,,,
,,,Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,Cinclosomatidae
,,,Cinclosoma marginatum,Western Quail-thrush,Cinclosomatidae
Cinclosoma cinnamomeum,Cinnamon Quail-thrush,Cinclosomatidae,,,
,,,Cinclosoma cinnamomeum,Cinnamon Quail-thrush,Cinclosomatidae
,,,Cinclosoma alisteri,Nullarbor Quail-thrush,Cinclosomatidae
Ptilorrhoa leucosticta,Spotted Jewel-babbler,Eupetidae,Ptilorrhoa leucosticta,Spotted Jewel-babbler,Cinclosomatidae
Ptilorrhoa caerulescens,Blue Jewel-babbler,Eupetidae,,,
,,,Ptilorrhoa caerulescens,Blue Jewel-babbler,Cinclosomatidae
,,,Ptilorrhoa geislerorum,Dimorphic Jewel-babbler,Cinclosomatidae
Ptilorrhoa castanonota,Chestnut-backed Jewel-babbler,Eupetidae,Ptilorrhoa castanonota,Chestnut-backed Jewel-babbler,Cinclosomatidae
Eupetes macrocerus,Rail-babbler,Eupetidae,Eupetes macrocerus,Malaysian Rail-babbler,Eupetidae
Ifrita kowaldi,Ifrit,Orthonychidae,Ifrita kowaldi,Blue-capped Ifrita,Ifritidae
Daphoenositta chrysoptera,Varied Sittella,Neosittidae,,,
,,,Daphoenositta chrysoptera,Varied Sittella,Neosittidae
,,,Daphoenositta papuensis,Papuan Sittella,Neosittidae
Mohoua albicilla,Whitehead,Acanthizidae,Mohoua albicilla,Whitehead,Mohouidae
Mohoua ochrocephala,Yellowhead,Acanthizidae,Mohoua ochrocephala,Yellowhead,Mohouidae
Mohoua novaeseelandiae,Pipipi,Acanthizidae,Mohoua novaeseelandiae,Pipipi,Mohouidae
Falcunculus frontatus,Crested Shrike-tit,Falcunculidae,,,
,,,Falcunculus frontatus,Eastern Shrike-tit,Falcunculidae
,,,Falcunculus whitei,Northern Shrike-tit,Falcunculidae
,,,Falcunculus leucogaster,Western Shrike-tit,Falcunculidae
Oreoica gutturalis,Crested Bellbird,Colluricinclidae,Oreoica gutturalis,Crested Bellbird,Oreoicidae
Rhagologus leucostigma,Mottled Whistler,Pachycephalidae,Rhagologus leucostigma,Mottled Berryhunter,Rhagologidae
Pachycare flavogriseum,Goldenface,Pachycephalidae,Pachycare flavogriseum,Goldenface,Acanthizidae
Hylocitrea bonensis,Olive-flanked Whistler,Pachycephalidae,Hylocitrea bonensis,Hylocitrea,Hylocitreidae
Colluricincla sanghirensis,Sangihe Shrike-thrush,Colluricinclidae,Coracornis sanghirensis,Sangihe Whistler,Pachycephalidae
Aleadryas rufinucha,Rufous-naped Whistler,Pachycephalidae,Aleadryas rufinucha,Rufous-naped Bellbird,Oreoicidae
Pachycephala grisola,Mangrove Whistler,Pachycephalidae,Pachycephala cinerea,Mangrove Whistler,Pachycephalidae
,,,Pachycephala melanorhyncha,Biak Whistler,Pachycephalidae
Pachycephala simplex,Grey Whistler,Pachycephalidae,Pachycephala simplex,Gray Whistler,Pachycephalidae
Pachycephala pectoralis,Golden Whistler,Pachycephalidae,,,
,,,Pachycephala pectoralis,Golden Whistler,Pachycephalidae
,,,Pachycephala balim,Baliem Whistler,Pachycephalidae
,,,Pachycephala fuliginosa,Western Whistler,Pachycephalidae
,,,Pachycephala fulvotincta,Rusty-breasted Whistler,Pachycephalidae
,,,Pachycephala macrorhyncha,Yellow-throated Whistler,Pachycephalidae
,,,Pachycephala mentalis,Black-chinned Whistler,Pachycephalidae
,,,Pachycephala citreogaster,Bismarck Whistler,Pachycephalidae
,,,Pachycephala collaris,Louisiade Whistler,Pachycephalidae
,,,Pachycephala orioloides,Oriole Whistler,Pachycephalidae
,,,Pachycephala feminina,Rennell Whistler,Pachycephalidae
,,,Pachycephala vitiensis,Fiji Whistler,Pachycephalidae
Pachycephala melanura,Black-tailed Whistler,Pachycephalidae,,,
,,,Pachycephala melanura,Black-tailed Whistler,Pachycephalidae
Pachycephala caledonica,New Caledonian Whistler,Pachycephalidae,,,
,,,Pachycephala caledonica,New Caledonian Whistler,Pachycephalidae
,,,Pachycephala chlorura,Vanuatu Whistler,Pachycephalidae
,,,Pachycephala vanikorensis,Temotu Whistler,Pachycephalidae
Pachycephala implicata,Hooded Whistler,Pachycephalidae,,,
,,,Pachycephala implicata,Guadalcanal Hooded Whistler,Pachycephalidae
,,,Pachycephala richardsi,Bougainville Hooded Whistler,Pachycephalidae
,,,Pachycephala monacha,Black-headed Whistler,Pachycephalidae
Pachycephala monacha,Black-headed Whistler,Pachycephalidae,,,
Pachycephala leucogastra,White-bellied Whistler,Pachycephalidae,,,
,,,Pachycephala leucogastra,White-bellied Whistler,Pachycephalidae
Colluricincla umbrina,Sooty Shrike-thrush,Colluricinclidae,Colluricincla tenebrosa,Sooty Shrikethrush,Pachycephalidae
Colluricincla megarhyncha,Little Shrike-thrush,Colluricinclidae,,,
,,,Colluricincla megarhyncha,Arafura Shrikethrush,Pachycephalidae
,,,Colluricincla fortis,Variable Shrikethrush,Pachycephalidae
,,,Colluricincla rufogaster,Rufous Shrikethrush,Pachycephalidae
,,,Colluricincla affinis,Waigeo Shrikethrush,Pachycephalidae
,,,Colluricincla obscura,Mamberamo Shrikethrush,Pachycephalidae
,,,Colluricincla discolor,Tagula Shrikethrush,Pachycephalidae
,,,Colluricincla tappenbecki,Sepik-Ramu Shrikethrush,Pachycephalidae
Colluricincla boweri,Bower's Shrike-thrush,Colluricinclidae,Colluricincla boweri,Bower's Shrikethrush,Pachycephalidae
Colluricincla woodwardi,Sandstone Shrike-thrush,Colluricinclidae,Colluricincla woodwardi,Sandstone Shrikethrush,Pachycephalidae
Colluricincla harmonica,Grey Shrike-thrush,Colluricinclidae,Colluricincla harmonica,Gray Shrikethrush,Pachycephalidae
Colluricincla tenebrosa,Morningbird,Colluricinclidae,Pachycephala tenebrosa,Morningbird,Pachycephalidae
Pitohui kirhocephalus,Variable Pitohui,Colluricinclidae,,,
,,,Pitohui kirhocephalus,Northern Variable Pitohui,Oriolidae
,,,Pitohui uropygialis,Southern Variable Pitohui,Oriolidae
,,,Pitohui cerviniventris,Raja Ampat Pitohui,Oriolidae
Pitohui dichrous,Hooded Pitohui,Colluricinclidae,Pitohui dichrous,Hooded Pitohui,Oriolidae
Pitohui incertus,White-bellied Pitohui,Colluricinclidae,Pseudorectes incertus,White-bellied Pitohui,Pachycephalidae
Pitohui ferrugineus,Rusty Pitohui,Colluricinclidae,Pseudorectes ferrugineus,Rusty Pitohui,Pachycephalidae
Pitohui cristatus,Crested Pitohui,Colluricinclidae,Ornorectes cristatus,Piping Bellbird,Oreoicidae
Pitohui nigrescens,Black Pitohui,Colluricinclidae,Melanorectes nigrescens,Black Pitohui,Pachycephalidae
Eulacestoma nigropectus,Wattled Ploughbill,Falcunculidae,Eulacestoma nigropectus,Wattled Ploughbill,Eulacestomatidae
Turnagra capensis,South Island Piopio,Turnagridae,Turnagra capensis,South Island Piopio,Oriolidae
Turnagra tanagra,North Island Piopio,Turnagridae,Turnagra tanagra,North Island Piopio,Oriolidae
Platylophus galericulatus,Crested Jay,Corvidae,Platylophus galericulatus,Crested Jayshrike,Platylophidae
Aphelocoma californica,Western Scrub-jay,Corvidae,,,
,,,Aphelocoma californica,California Scrub-Jay,Corvidae
,,,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Corvidae
Aphelocoma ultramarina,Mexican Jay,Corvidae,,,
,,,Aphelocoma ultramarina,Transvolcanic Jay,Corvidae
,,,Aphelocoma wollweberi,Mexican Jay,Corvidae
Aphelocoma unicolor,Unicoloured Jay,Corvidae,Aphelocoma unicolor,Unicolored Jay,Corvidae
Cyanolyca nana,Dwarf Jay,Corvidae,Cyanolyca nanus,Dwarf Jay,Corvidae
Cyanocorax morio,Brown Jay,Corvidae,Psilorhinus morio,Brown Jay,Corvidae
Garrulus lidthi,Amami Jay,Corvidae,Garrulus lidthi,Lidth's Jay,Corvidae
Perisoreus canadensis,Grey Jay,Corvidae,Perisoreus canadensis,Canada Jay,Corvidae
Urocissa ornata,Sri Lanka Magpie,Corvidae,Urocissa ornata,Sri Lanka Blue-Magpie,Corvidae
Urocissa caerulea,Taiwan Magpie,Corvidae,Urocissa caerulea,Taiwan Blue-Magpie,Corvidae
Urocissa flavirostris,Gold-billed Magpie,Corvidae,Urocissa flavirostris,Yellow-billed Blue-Magpie,Corvidae
Urocissa erythrorhyncha,Blue Magpie,Corvidae,Urocissa erythroryncha,Red-billed Blue-Magpie,Corvidae
Cissa chinensis,Green Magpie,Corvidae,Cissa chinensis,Common Green-Magpie,Corvidae
Cissa thalassina,Short-tailed Magpie,Corvidae,,,
,,,Cissa thalassina,Javan Green-Magpie,Corvidae
,,,Cissa jefferyi,Bornean Green-Magpie,Corvidae
Cissa hypoleuca,Yellow-breasted Magpie,Corvidae,Cissa hypoleuca,Indochinese Green-Magpie,Corvidae
Cyanopica cyanus,Azure-winged Magpie,Corvidae,,,
,,,Cyanopica cyanus,Azure-winged Magpie,Corvidae
,,,Cyanopica cooki,Iberian Magpie,Corvidae
Dendrocitta formosae,Grey Treepie,Corvidae,Dendrocitta formosae,Gray Treepie,Corvidae
Dendrocitta occipitalis,Sunda Treepie,Corvidae,,,
,,,Dendrocitta occipitalis,Sumatran Treepie,Corvidae
,,,Dendrocitta cinerascens,Bornean Treepie,Corvidae
Dendrocitta bayleyi,Andaman Treepie,Corvidae,Dendrocitta bayleii,Andaman Treepie,Corvidae
Pica pica,Black-billed Magpie,Corvidae,,,
,,,Pica pica,Eurasian Magpie,Corvidae
,,,Pica bottanensis,Black-rumped Magpie,Corvidae
,,,Pica mauritanica,Maghreb Magpie,Corvidae
,,,Pica serica,Oriental Magpie,Corvidae
,,,Pica asirensis,Asir Magpie,Corvidae
,,,Pica hudsonia,Black-billed Magpie,Corvidae
Zavattariornis stresemanni,Ethiopian Bush-crow,Corvidae,Zavattariornis stresemanni,Stresemann's Bush-Crow,Corvidae
Pseudopodoces humilis,Tibetan Ground-tit,Paridae,Pseudopodoces humilis,Ground Tit,Paridae
Nucifraga caryocatactes,Spotted Nutcracker,Corvidae,,,
,,,Nucifraga caryocatactes,Eurasian Nutcracker,Corvidae
,,,Nucifraga multipunctata,Kashmir Nutcracker,Corvidae
Corvus enca,Slender-billed Crow,Corvidae,,,
,,,Corvus enca,Slender-billed Crow,Corvidae
,,,Corvus pusillus,Palawan Crow,Corvidae
,,,Corvus violaceus,Violet Crow,Corvidae
Corvus woodfordi,White-billed Crow,Corvidae,Corvus woodfordi,Guadalcanal Crow,Corvidae
Corvus tristis,Grey Crow,Corvidae,Corvus tristis,Gray Crow,Corvidae
,,,Corvus brachyrhynchos,American Crow,Corvidae
Corvus brachyrhynchos,American Crow,Corvidae,,,
Corvus caurinus,North-western Crow,Corvidae,,,
Corvus palmarum,Palm Crow,Corvidae,,,
,,,Corvus palmarum,Hispaniolan Palm-Crow,Corvidae
,,,Corvus minutus,Cuban Palm-Crow,Corvidae
Corvus corone,Carrion Crow,Corvidae,,,
,,,Corvus corone,Carrion Crow,Corvidae
,,,Corvus cornix,Hooded Crow,Corvidae
,,,Corvus macrorhynchos,Large-billed Crow,Corvidae
Corvus macrorhynchos,Large-billed Crow,Corvidae,,,
Corvus levaillantii,Jungle Crow,Corvidae,,,
Corvus orru,Torresian Crow,Corvidae,,,
,,,Corvus orru,Torresian Crow,Corvidae
,,,Corvus insularis,Bismarck Crow,Corvidae
Corvus torquatus,Collared Crow,Corvidae,Corvus pectoralis,Collared Crow,Corvidae
Melampitta lugubris,Lesser Melampitta,Orthonychidae,Melampitta lugubris,Lesser Melampitta,Melampittidae
Melampitta gigantea,Greater Melampitta,Orthonychidae,Megalampitta gigantea,Greater Melampitta,Melampittidae
Loboparadisea sericea,Yellow-breasted Bird-of-paradise,Cnemophilidae,Loboparadisea sericea,Yellow-breasted Satinbird,Cnemophilidae
Cnemophilus macgregorii,Crested Bird-of-paradise,Cnemophilidae,Cnemophilus macgregorii,Crested Satinbird,Cnemophilidae
Cnemophilus loriae,Loria's Bird-of-paradise,Cnemophilidae,Cnemophilus loriae,Loria's Satinbird,Cnemophilidae
Macgregoria pulchra,Ochre-winged Honeyeater,Meliphagidae,Macgregoria pulchra,Macgregor's Honeyeater,Meliphagidae
Lycocorax pyrrhopterus,Paradise-crow,Paradisaeidae,,,
,,,Lycocorax pyrrhopterus,Halmahera Paradise-crow,Paradisaeidae
,,,Lycocorax obiensis,Obi Paradise-crow,Paradisaeidae
Manucodia keraudrenii,Trumpet Manucode,Paradisaeidae,Phonygammus keraudrenii,Trumpet Manucode,Paradisaeidae
Semioptera wallacii,Standardwing,Paradisaeidae,Semioptera wallacii,Standardwing Bird-of-Paradise,Paradisaeidae
Epimachus fastuosus,Black Sicklebill,Paradisaeidae,Epimachus fastosus,Black Sicklebill,Paradisaeidae
Epimachus albertisi,Black-billed Sicklebill,Paradisaeidae,Drepanornis albertisi,Black-billed Sicklebill,Paradisaeidae
Epimachus bruijnii,Pale-billed Sicklebill,Paradisaeidae,Drepanornis bruijnii,Pale-billed Sicklebill,Paradisaeidae
Lophorina superba,Superb Bird-of-paradise,Paradisaeidae,,,
,,,Lophorina superba,Greater Lophorina,Paradisaeidae
,,,Lophorina niedda,Vogelkop Lophorina,Paradisaeidae
,,,Lophorina minor,Lesser Lophorina,Paradisaeidae
Parotia carolae,Carola's Parotia,Paradisaeidae,,,
,,,Parotia carolae,Carola's Parotia,Paradisaeidae
,,,Parotia berlepschi,Bronze Parotia,Paradisaeidae
Ptiloris intercedens,Eastern Riflebird,Paradisaeidae,Ptiloris intercedens,Growling Riflebird,Paradisaeidae
Cicinnurus magnificus,Magnificent Bird-of-paradise,Paradisaeidae,Diphyllodes magnificus,Magnificent Bird-of-Paradise,Paradisaeidae
Cicinnurus respublica,Wilson's Bird-of-paradise,Paradisaeidae,Diphyllodes respublica,Wilson's Bird-of-Paradise,Paradisaeidae
Paradisaea rudolphi,Blue Bird-of-paradise,Paradisaeidae,Paradisornis rudolphi,Blue Bird-of-Paradise,Paradisaeidae
Cracticus mentalis,Black-backed Butcherbird,Cracticidae,Cracticus mentalis,Black-backed Butcherbird,Artamidae
Cracticus torquatus,Grey Butcherbird,Cracticidae,,,
,,,Cracticus torquatus,Gray Butcherbird,Artamidae
,,,Cracticus argenteus,Silver-backed Butcherbird,Artamidae
Cracticus cassicus,Hooded Butcherbird,Cracticidae,Cracticus cassicus,Hooded Butcherbird,Artamidae
Cracticus louisiadensis,Tagula Butcherbird,Cracticidae,Cracticus louisiadensis,Tagula Butcherbird,Artamidae
Cracticus nigrogularis,Pied Butcherbird,Cracticidae,Cracticus nigrogularis,Pied Butcherbird,Artamidae
Cracticus quoyi,Black Butcherbird,Cracticidae,Melloria quoyi,Black Butcherbird,Artamidae
Gymnorhina tibicen,Australian Magpie,Cracticidae,Gymnorhina tibicen,Australian Magpie,Artamidae
Strepera graculina,Pied Currawong,Cracticidae,Strepera graculina,Pied Currawong,Artamidae
Strepera fuliginosa,Black Currawong,Cracticidae,Strepera fuliginosa,Black Currawong,Artamidae
Strepera versicolor,Grey Currawong,Cracticidae,Strepera versicolor,Gray Currawong,Artamidae
Pityriasis gymnocephala,Bornean Bristlehead,Pityriaseidae,Pityriasis gymnocephala,Bornean Bristlehead,Pityriasidae
Peltops blainvillii,Lowland Peltops,Cracticidae,Peltops blainvillii,Lowland Peltops,Artamidae
Peltops montanus,Mountain Peltops,Cracticidae,Peltops montanus,Mountain Peltops,Artamidae
Oriolus melanotis,Olive-brown Oriole,Oriolidae,,,
,,,Oriolus melanotis,Timor Oriole,Oriolidae
,,,Oriolus finschi,Wetar Oriole,Oriolidae
Oriolus bouroensis,Black-eared Oriole,Oriolidae,,,
,,,Oriolus bouroensis,Buru Oriole,Oriolidae
,,,Oriolus decipiens,Tanimbar Oriole,Oriolidae
Oriolus forsteni,Grey-collared Oriole,Oriolidae,Oriolus forsteni,Seram Oriole,Oriolidae
Oriolus phaeochromus,Dusky-brown Oriole,Oriolidae,Oriolus phaeochromus,Halmahera Oriole,Oriolidae
Oriolus xanthonotus,Dark-throated Oriole,Oriolidae,,,
,,,Oriolus xanthonotus,Dark-throated Oriole,Oriolidae
,,,Oriolus consobrinus,Ventriloquial Oriole,Oriolidae
Oriolus oriolus,Eurasian Golden Oriole,Oriolidae,,,
,,,Oriolus oriolus,Eurasian Golden Oriole,Oriolidae
,,,Oriolus kundoo,Indian Golden Oriole,Oriolidae
Oriolus brachyrhynchus,Western Black-headed Oriole,Oriolidae,Oriolus brachyrynchus,Western Black-headed Oriole,Oriolidae
Oriolus monacha,Dark-headed Oriole,Oriolidae,Oriolus monacha,Ethiopian Black-headed Oriole,Oriolidae
Oriolus cruentus,Black-and-crimson Oriole,Oriolidae,,,
,,,Oriolus cruentus,Javan Oriole,Oriolidae
